date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:01:20	33818/33818	---M-Z	200	added ('OK')	text/html	date:Wed,%2024%20Jun%202026%2010:01:20%20GMT	https://www.friends-of-tibet.org/	/Users/gingerbreadhouse/Desktop/friends-of-tibet-backup/www.friends-of-tibet.org/index.html	(from )
03:01:21	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Jun%202026%2010:01:20%20GMT	http://www.friends-of-tibet.org/rss.xml	/Users/gingerbreadhouse/Desktop/friends-of-tibet-backup/www.friends-of-tibet.org/rss.0.delayed	(from https://www.friends-of-tibet.org/)
03:01:22	51497/51497	---M-Z	200	added ('OK')	application/rss+xml	date:Wed,%2024%20Jun%202026%2010:01:22%20GMT	https://www.friends-of-tibet.org/rss.xml	/Users/gingerbreadhouse/Desktop/friends-of-tibet-backup/www.friends-of-tibet.org/rss.xml	(from https://www.friends-of-tibet.org/)
03:01:22	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Jun%202026%2010:01:22%20GMT	http://www.friends-of-tibet.org/sites/default/files/favicon_0.ico	/Users/gingerbreadhouse/Desktop/friends-of-tibet-backup/www.friends-of-tibet.org/sites/default/files/favicon_0.ico	(from https://www.friends-of-tibet.org/)
03:01:23	3750/3750	---M--	200	added ('OK')	image/x-icon	etag:%22de0eac-ea6-5cf0cd86afa40%22	https://www.friends-of-tibet.org/sites/default/files/favicon_0.ico	/Users/gingerbreadhouse/Desktop/friends-of-tibet-backup/www.friends-of-tibet.org/sites/default/files/favicon_0.ico	(from https://www.friends-of-tibet.org/)
03:01:24	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Jun%202026%2010:01:24%20GMT	http://www.friends-of-tibet.org/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css	/Users/gingerbreadhouse/Desktop/friends-of-tibet-backup/www.friends-of-tibet.org/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css	(from https://www.friends-of-tibet.org/)
03:01:25	7587/7587	---M-Z	200	added ('OK')	text/css	etag:%22de0e96-8a9-5eadaad525a6d%22	https://www.friends-of-tibet.org/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css	/Users/gingerbreadhouse/Desktop/friends-of-tibet-backup/www.friends-of-tibet.org/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css	(from https://www.friends-of-tibet.org/)
03:01:26	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Jun%202026%2010:01:26%20GMT	http://www.friends-of-tibet.org/sites/default/files/css/css_vZ_wrMQ9Og-YPPxa1q4us3N7DsZMJa-14jShHgRoRNo.css	/Users/gingerbreadhouse/Desktop/friends-of-tibet-backup/www.friends-of-tibet.org/sites/default/files/css/css_vZ_wrMQ9Og-YPPxa1q4us3N7DsZMJa-14jShHgRoRNo.css	(from https://www.friends-of-tibet.org/)
03:01:27	141/141	---M-Z	200	added ('OK')	text/css	etag:%22de0e92-6d-5eadaaf988c66%22	https://www.friends-of-tibet.org/sites/default/files/css/css_vZ_wrMQ9Og-YPPxa1q4us3N7DsZMJa-14jShHgRoRNo.css	/Users/gingerbreadhouse/Desktop/friends-of-tibet-backup/www.friends-of-tibet.org/sites/default/files/css/css_vZ_wrMQ9Og-YPPxa1q4us3N7DsZMJa-14jShHgRoRNo.css	(from https://www.friends-of-tibet.org/)
03:01:28	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Jun%202026%2010:01:28%20GMT	http://www.friends-of-tibet.org/sites/default/files/css/css_LJ5o7kN0NNDdnNGJ7tR6PnPz0yXLXG2dJBYDEG8Ach8.css	/Users/gingerbreadhouse/Desktop/friends-of-tibet-backup/www.friends-of-tibet.org/sites/default/files/css/css_LJ5o7kN0NNDdnNGJ7tR6PnPz0yXLXG2dJBYDEG8Ach8.css	(from https://www.friends-of-tibet.org/)
